global_index,timestamp_ms,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,joint_q1,joint_q2,joint_q3,joint_q4,joint_q5,joint_q6
0,1776828647468,-0.000023852666153,-0.192532328874303,1.001670948532611,-0.001410862209081,-2.221340813818015,2.219882572566446,0.000024342956749,-1.570820156727926,0.000011920928955,-1.570844475422994,0.000071905349614,0.000059921127104
1,1776828647479,-0.000070377629888,-0.192532326330297,1.001670937895439,-0.001531277830972,-2.221334757039321,2.219876439638734,0.000000000000000,-1.570783917103903,0.000023841857910,-1.570844475422994,0.000035952674807,0.000059921127104
2,1776828647489,-0.000034047673283,-0.192532322918663,1.001670948270127,-0.001490703497154,-2.221328661866361,2.219870466336910,-0.000011746083395,-1.570820156727926,0.000011920928955,-1.570820633565084,0.000059921127104,0.000059921127104
3,1776828647499,-0.000060849008502,-0.192532323694153,1.001670937966378,-0.001531523266088,-2.221382780389758,2.219924533448477,0.000000000000000,-1.570796314870016,0.000023841857910,-1.570783917103903,0.000083889579400,0.000059921127104
4,1776828647510,-0.000036186209439,-0.192532327412715,1.001670944742851,-0.001411088908073,-2.221364920444146,2.219906653297922,0.000024342956749,-1.570808235798971,0.000011920928955,-1.570808235798971,0.000095873801911,0.000035952674807
5,1776828647520,0.000004832169431,-0.192532319207243,1.001670962362159,-0.001371475936125,-2.221299053499796,2.219840949762406,0.000036327182897,-1.570832077656881,-0.000023667012350,-1.570856396351950,0.000035952674807,0.000059921127104
6,1776828647531,-0.000023521775632,-0.192532326095610,1.001670949158459,-0.001437478000665,-2.221340785967282,2.219882578629739,0.000036327182897,-1.570820156727926,0.000011920928955,-1.570844475422994,0.000047936900955,0.000071905349614
7,1776828647541,-0.000020494700235,-0.192532335368913,1.001670942322741,-0.001477442209991,-2.221358755755217,2.219900514273209,0.000012358732420,-1.570844475422994,0.000048160552979,-1.570856396351950,0.000071905349614,0.000107858024421
8,1776828647552,-0.000041860508833,-0.192532320408187,1.001670940204111,-0.001517857445561,-2.221365009058907,2.219906789569099,0.000036327182897,-1.570820156727926,0.000035762786865,-1.570783917103903,0.000035952674807,0.000047936900955
9,1776828647563,-0.000029403006236,-0.192532320634479,1.001670947627739,-0.001490942918287,-2.221364834842907,2.219906681578048,0.000024342956749,-1.570820156727926,0.000011920928955,-1.570796314870016,0.000059921127104,0.000071905349614
10,1776828647574,-0.000022618920304,-0.192532327320370,1.001670936918041,-0.001477967502804,-2.221406956843179,2.219948727388170,0.000072279857704,-1.570844475422994,0.000060081481934,-1.570783917103903,0.000059921127104,0.000071905349614
11,1776828647584,-0.000038299387248,-0.192532323844360,1.001670946085163,-0.001517660561468,-2.221316583774556,2.219858367942231,0.000000000000000,-1.570820156727926,0.000023841857910,-1.570844475422994,0.000023968450478,0.000071905349614
12,1776828647595,-0.000018608434180,-0.192532329625287,1.001670951589730,-0.001437321251587,-2.221304626701637,2.219846407289030,-0.000011746083395,-1.570832077656881,0.000011920928955,-1.570868794118063,0.000059921127104,0.000071905349614
