global_index,timestamp_ms,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,joint_q1,joint_q2,joint_q3,joint_q4,joint_q5,joint_q6
0,1774923134493,-0.000074584750506,-0.192532289904303,1.001670948176728,-0.001184761604896,-2.221095782668540,2.219637090060079,0.000012358732420,-1.570772473012106,-0.000023667012350,-1.570724312459127,-0.000059906636373,-0.000419441853658
1,1774923134503,-0.000093345523598,-0.192532295799145,1.001670933971658,-0.001251048471829,-2.221113962868864,2.219655163293935,-0.000023667012350,-1.570783917103903,0.000023841857910,-1.570712391530172,-0.000035587941305,-0.000419441853658
2,1774923134513,-0.000071100433186,-0.192532290787286,1.001670940972601,-0.001237445203354,-2.221119553411982,2.219660860618831,0.000024342956749,-1.570796314870016,0.000011920928955,-1.570700470601217,-0.000071827565328,-0.000407520924703
3,1774923134524,-0.000090338058268,-0.192532287130639,1.001670939298455,-0.001263970663988,-2.221107620885480,2.219648890470807,0.000012358732420,-1.570772473012106,0.000000000000000,-1.570700470601217,-0.000083748494283,-0.000419441853658
4,1774923134535,-0.000073674992704,-0.192532292364032,1.001670941401142,-0.001224766399557,-2.221101446371436,2.219642715163435,0.000000000000000,-1.570796314870016,0.000011920928955,-1.570712391530172,-0.000059906636373,-0.000419441853658
5,1774923134545,-0.000085545139514,-0.192532298557026,1.001670932918965,-0.001237287962992,-2.221119686910036,2.219660883024167,-0.000011746083395,-1.570796314870016,0.000035762786865,-1.570712391530172,-0.000035587941305,-0.000419441853658
6,1774923134556,-0.000124097008180,-0.192532292188218,1.001670916920792,-0.001370875630068,-2.221131537548623,2.219672645248906,0.000000000000000,-1.570772473012106,0.000060081481934,-1.570688549672262,-0.000095669423239,-0.000419441853658
7,1774923134566,-0.000075416391187,-0.192532289255478,1.001670932996349,-0.001317924443897,-2.221167672391924,2.219709027201183,0.000024342956749,-1.570808235798971,0.000035762786865,-1.570652310048239,-0.000059906636373,-0.000383202229635
8,1774923134577,-0.000138451392880,-0.192532287289169,1.001670918412598,-0.001357658106031,-2.221149873487357,2.219691017362891,0.000012358732420,-1.570736233388082,0.000023841857910,-1.570664230977194,-0.000083748494283,-0.000431362782614
9,1774923134587,-0.000075111270890,-0.192532300993071,1.001670938834623,-0.001225333713813,-2.221113602636940,2.219654845992304,0.000000000000000,-1.570796314870016,0.000023841857910,-1.570748154317037,-0.000047985707418,-0.000383202229635
10,1774923134597,-0.000077904753413,-0.192532292469298,1.001670943749779,-0.001332301890367,-2.221137802157847,2.219679211760704,0.000000000000000,-1.570783917103903,0.000000000000000,-1.570736233388082,-0.000071827565328,-0.000311199818746
11,1774923134608,-0.000089479062737,-0.192532293401998,1.001670941483188,-0.001571009580851,-2.221233252938557,2.219774926469138,-0.000011746083395,-1.570772473012106,0.000000000000000,-1.570748154317037,-0.000071827565328,-0.000107590352194
12,1774923134619,-0.000114288610684,-0.192532313515960,1.001670924375761,-0.001650506660227,-2.221328958531148,2.219870580763309,0.000036327182897,-1.570748154317037,0.000035762786865,-1.570796314870016,-0.000059906636373,0.000011984225239
13,1774923134629,-0.000086747929024,-0.192532292224910,1.001670941376477,-0.002117029164055,-2.221526393688454,2.220068845529973,0.000048311409046,-1.570760075245992,-0.000011746083395,-1.570724312459127,-0.000083748494283,0.000407463667216
14,1774923134640,-0.000104255685731,-0.192532287659493,1.001670929533957,-0.002396005517165,-2.221615739905213,2.220158409510748,0.000012358732420,-1.570772473012106,0.000023841857910,-1.570676151906149,-0.000083748494283,0.000551274337340
15,1774923134650,-0.000073861050804,-0.192532300232563,1.001670938298423,-0.002276431765210,-2.221597712053890,2.220140339970715,0.000012358732420,-1.570796314870016,0.000023841857910,-1.570736233388082,-0.000047985707418,0.000563258596230
16,1774923134661,-0.000115927117802,-0.192532296562343,1.001670922267395,-0.002476031852714,-2.221687473762076,2.220230168338139,0.000024342956749,-1.570760075245992,0.000035762786865,-1.570688549672262,-0.000059906636373,0.000647148175631
17,1774923134671,-0.000077058920838,-0.192532299644035,1.001670939354474,-0.002210378724415,-2.221580051283338,2.220122607495037,0.000024342956749,-1.570783917103903,0.000011920928955,-1.570736233388082,-0.000047985707418,0.000515321677085
18,1774923134681,-0.000096802568017,-0.192532297274611,1.001670929824768,-0.002422022309799,-2.221687483811444,2.220230210344903,0.000024342956749,-1.570772473012106,0.000023841857910,-1.570688549672262,-0.000035587941305,0.000647148175631
19,1774923134692,-0.000098564340928,-0.192532296096490,1.001670932754177,-0.002276017913218,-2.221561856798576,2.220104386032363,0.000012358732420,-1.570772473012106,0.000023841857910,-1.570736233388082,-0.000083748494283,0.000503337476403
20,1774923134703,-0.000049294182713,-0.192532302061011,1.001670950164360,-0.002023301600419,-2.221484061401343,2.220026508403706,0.000000000000000,-1.570808235798971,0.000000000000000,-1.570772473012106,-0.000035587941305,0.000407463667216
21,1774923134713,-0.000101567106220,-0.192532293698375,1.001670933199405,-0.002303037420942,-2.221586022816148,2.220128601847836,0.000036327182897,-1.570760075245992,0.000011920928955,-1.570724312459127,-0.000095669423239,0.000527305935975
22,1774923134724,-0.000075062625536,-0.192532297483221,1.001670942505773,-0.002077228923986,-2.221520273595212,2.220062697170272,0.000000000000000,-1.570783917103903,0.000000000000000,-1.570724312459127,-0.000023667012350,0.000395479437429
23,1774923134734,-0.000086673738200,-0.192532304127689,1.001670936687700,-0.002076303423341,-2.221532238349299,2.220074583443695,0.000012358732420,-1.570772473012106,0.000011920928955,-1.570748154317037,-0.000023667012350,0.000407463667216
24,1774923134744,-0.000074953482453,-0.192532293161916,1.001670941243126,-0.002103342118277,-2.221495972673761,2.220038401137027,-0.000011746083395,-1.570796314870016,0.000011920928955,-1.570712391530172,-0.000047985707418,0.000371510977857
25,1774923134754,-0.000078200232583,-0.192532294905506,1.001670943387807,-0.002090712795878,-2.221490284593689,2.220032708575883,-0.000011746083395,-1.570783917103903,0.000000000000000,-1.570736233388082,-0.000047985707418,0.000383495207643
26,1774923134765,-0.000076094281514,-0.192532299328083,1.001670939016077,-0.002050434834134,-2.221472052474691,2.220014373364691,0.000000000000000,-1.570796314870016,0.000023841857910,-1.570748154317037,-0.000059906636373,0.000347542518284
27,1774923134775,-0.000096256990694,-0.192532297263955,1.001670932754177,-0.002142853201433,-2.221514085937236,2.220056446968588,0.000024342956749,-1.570772473012106,0.000023841857910,-1.570736233388082,-0.000083748494283,0.000395479437429
28,1774923134785,-0.000046250918323,-0.192532294623067,1.001670946623008,-0.002036797304358,-2.221502102448271,2.220044560618633,0.000024342956749,-1.570820156727926,0.000011920928955,-1.570712391530172,-0.000047985707418,0.000371510977857
