global_index,timestamp_ms,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,joint_q1,joint_q2,joint_q3,joint_q4,joint_q5,joint_q6
0,1774921320497,-0.000123360156910,-0.192532294959725,1.001670932578068,-0.001771182261497,-2.221275057820723,2.219816809144196,-0.000059906636373,-1.570748154317037,0.000011920928955,-1.570783917103903,-0.000071827565328,0.000023968450478
1,1774921320508,-0.000093594023025,-0.192532288866134,1.001670942608899,-0.001743556491832,-2.221263060382648,2.219804923602799,-0.000023667012350,-1.570772473012106,0.000000000000000,-1.570760075245992,-0.000107590352194,0.000011984225239
2,1774921320518,-0.000118678022702,-0.192532297902742,1.001670932578068,-0.001717552880073,-2.221275274884302,2.219816984325540,-0.000035587941305,-1.570748154317037,0.000011920928955,-1.570783917103903,-0.000071827565328,0.000000000000000
3,1774921320529,-0.000110550793098,-0.192532307067840,1.001670932795361,-0.001704041855101,-2.221280609504183,2.219822307199857,-0.000047985707418,-1.570760075245992,0.000023841857910,-1.570820633565084,-0.000047985707418,0.000035952674807
4,1774921320539,-0.000146638627534,-0.192532299393753,1.001670919149704,-0.001730442856890,-2.221317381427223,2.219858995120305,-0.000035587941305,-1.570724312459127,0.000023841857910,-1.570748154317037,-0.000035587941305,-0.000023667012350
5,1774921320549,-0.000115723456650,-0.192532311479457,1.001670929356174,-0.001623520976540,-2.221281168399091,2.219822757349706,-0.000023667012350,-1.570748154317037,0.000023841857910,-1.570820633565084,-0.000035587941305,-0.000011746083395
6,1774921320562,-0.000107800893591,-0.192532297995601,1.001670935799357,-0.001691267259159,-2.221263447432959,2.219805164736173,-0.000035587941305,-1.570760075245992,0.000011920928955,-1.570783917103903,-0.000071827565328,-0.000011746083395
7,1774921320574,-0.000144595728482,-0.192532313439328,1.001670913285454,-0.001757450563646,-2.221280891592884,2.219822396588237,-0.000047985707418,-1.570748154317037,0.000072002410889,-1.570844475422994,-0.000071827565328,0.000023968450478
8,1774921320585,-0.000128507749123,-0.192532308711705,1.001670925084211,-0.001743305771552,-2.221298769954662,2.219840421709205,-0.000059906636373,-1.570748154317037,0.000035762786865,-1.570820633565084,-0.000035587941305,0.000047936900955
9,1774921320595,-0.000102659933887,-0.192532297095601,1.001670940164943,-0.001664267915736,-2.221287028544898,2.219828807253302,-0.000011746083395,-1.570748154317037,-0.000011746083395,-1.570772473012106,-0.000059906636373,0.000000000000000
10,1774921320607,-0.000104322849631,-0.192532303318354,1.001670937398655,-0.001716817282507,-2.221274878763599,2.219816642332063,-0.000035587941305,-1.570760075245992,0.000011920928955,-1.570820633565084,-0.000071827565328,0.000047936900955
11,1774921320618,-0.000106326881341,-0.192532307140134,1.001670930644591,-0.001690121518742,-2.221286767757855,2.219828445076033,-0.000047985707418,-1.570772473012106,0.000035762786865,-1.570796314870016,-0.000035587941305,0.000011984225239
12,1774921320628,-0.000105613015873,-0.192532308242239,1.001670936770527,-0.001623938278944,-2.221293219581933,2.219834912028969,-0.000035587941305,-1.570748154317037,0.000000000000000,-1.570808235798971,-0.000011746083395,0.000011984225239
13,1774921320639,-0.000108399227090,-0.192532310578251,1.001670933039232,-0.001650417180270,-2.221268913838223,2.219810552008083,-0.000047985707418,-1.570760075245992,0.000023841857910,-1.570832554494039,-0.000035587941305,0.000011984225239
14,1774921320650,-0.000161318730389,-0.192532293558580,1.001670916840721,-0.001823974277018,-2.221275059660454,2.219816661980239,-0.000083748494283,-1.570724312459127,0.000035762786865,-1.570783917103903,-0.000071827565328,0.000000000000000
15,1774921320660,-0.000133008123843,-0.192532301523915,1.001670923634098,-0.001744567576692,-2.221286987300839,2.219828620931663,-0.000059906636373,-1.570748154317037,0.000035762786865,-1.570783917103903,-0.000047985707418,0.000000000000000
16,1774921320671,-0.000142448974329,-0.192532292623474,1.001670922953989,-0.001797496900552,-2.221298868951020,2.219840562386722,-0.000059906636373,-1.570736233388082,0.000023841857910,-1.570748154317037,-0.000059906636373,0.000000000000000
17,1774921320682,-0.000139342616390,-0.192532301708830,1.001670925482386,-0.001770219892590,-2.221287050457452,2.219828713530038,-0.000083748494283,-1.570736233388082,0.000023841857910,-1.570808235798971,-0.000035587941305,0.000035952674807
18,1774921320693,-0.000158328969619,-0.192532299167321,1.001670918273009,-0.001770501697540,-2.221286764864192,2.219828351062902,-0.000047985707418,-1.570712391530172,0.000023841857910,-1.570796314870016,-0.000071827565328,0.000000000000000
19,1774921320703,-0.000094344115064,-0.192532293498900,1.001670941836190,-0.001744255687473,-2.221286718148377,2.219828592627286,-0.000047985707418,-1.570772473012106,0.000000000000000,-1.570760075245992,-0.000059906636373,0.000035952674807
20,1774921320714,-0.000133534213397,-0.192532299705929,1.001670931777760,-0.001717104425716,-2.221262686410032,2.219804353803595,-0.000047985707418,-1.570724312459127,0.000000000000000,-1.570820633565084,-0.000071827565328,0.000011984225239
21,1774921320724,-0.000146454958103,-0.192532306366458,1.001670916124555,-0.001771204929767,-2.221310895916297,2.219852487704933,-0.000047985707418,-1.570736233388082,0.000048160552979,-1.570796314870016,-0.000047985707418,0.000023968450478
22,1774921320736,-0.000120818841488,-0.192532301611278,1.001670927139667,-0.001771274093617,-2.221298941249844,2.219840659391672,-0.000047985707418,-1.570760075245992,0.000035762786865,-1.570783917103903,-0.000059906636373,0.000035952674807
23,1774921320746,-0.000071264852528,-0.192532300938043,1.001670945307572,-0.001637083983683,-2.221250929571375,2.219792726513704,-0.000023667012350,-1.570796314870016,0.000011920928955,-1.570796314870016,-0.000071827565328,0.000000000000000
24,1774921320756,-0.000097403571842,-0.192532298679048,1.001670939940732,-0.001704551054644,-2.221293189659364,2.219835008470536,-0.000011746083395,-1.570760075245992,0.000000000000000,-1.570783917103903,-0.000071827565328,0.000035952674807
25,1774921320766,-0.000133719732956,-0.192532313363351,1.001670921489974,-0.001676363768931,-2.221304948630965,2.219846508747816,-0.000035587941305,-1.570736233388082,0.000035762786865,-1.570820633565084,-0.000023667012350,0.000011984225239
26,1774921320776,-0.000142105959607,-0.192532296119530,1.001670917509072,-0.001851214532266,-2.221323005238916,2.219864714420130,-0.000047985707418,-1.570748154317037,0.000048160552979,-1.570748154317037,-0.000071827565328,0.000035952674807
27,1774921320787,-0.000123748157804,-0.192532296116640,1.001670933506936,-0.001717548500452,-2.221275272887302,2.219816990279699,-0.000035587941305,-1.570736233388082,0.000000000000000,-1.570783917103903,-0.000071827565328,0.000000000000000
