global_index,timestamp_ms,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,joint_q1,joint_q2,joint_q3,joint_q4,joint_q5,joint_q6
0,1774921923307,-0.093926209581776,-0.207488330940585,0.983601853040214,0.036324874926543,2.042054410762006,-2.029886718168315,0.138706922531128,-1.588429752980367,0.264015674591064,-1.428421322499410,0.032012112438679,-0.185805145894186
1,1774921923319,-0.093949709683138,-0.207491559006665,0.983597254450893,0.036302370161941,2.042035085009422,-2.029882640140076,0.138706922531128,-1.588417832051412,0.264051914215088,-1.428445164357321,0.032036080956459,-0.185828987752096
2,1774921923329,-0.093946942660144,-0.207491286207090,0.983595613455419,0.036421766665547,2.042040822054514,-2.029850640638093,0.138706922531128,-1.588429752980367,0.264051914215088,-1.428397480641500,0.031988143920898,-0.185793224965231
3,1774921923340,-0.093940367065977,-0.207494681658846,0.983598888915116,0.036362020318296,2.042009315137089,-2.029823505176676,0.138742506504059,-1.588405434285299,0.264015674591064,-1.428421322499410,0.032012112438679,-0.185756985341207
4,1774921923351,-0.093935997359060,-0.207489945659973,0.983598468351755,0.036369279497240,2.042149394773618,-2.029932338605356,0.138706922531128,-1.588429752980367,0.264028072357178,-1.428457562123434,0.031916238367558,-0.185828987752096
5,1774921923362,-0.093949840922151,-0.207494693701105,0.983594556178949,0.036420501173239,2.042049732103542,-2.029841415216132,0.138730883598328,-1.588417832051412,0.264039993286133,-1.428385559712545,0.031964175403118,-0.185805145894186
6,1774921923372,-0.093912313268552,-0.207492358982466,0.983602698418878,0.036273740426684,2.042094231318912,-2.029894682046510,0.138754487037659,-1.588429752980367,0.264003753662109,-1.428445164357321,0.031964175403118,-0.185817066823141
7,1774921923383,-0.093926819683157,-0.207488510346216,0.983601529111390,0.036323238135672,2.042098012911724,-2.029913910023121,0.138706922531128,-1.588429752980367,0.264015674591064,-1.428445164357321,0.031976159662008,-0.185817066823141
8,1774921923393,-0.093954514712101,-0.207496718567710,0.983594592017002,0.036361488286387,2.042036946585249,-2.029843398817184,0.138742506504059,-1.588405434285299,0.264039993286133,-1.428409401570455,0.031988143920898,-0.185817066823141
9,1774921923403,-0.093933263031655,-0.207487878411629,0.983600672180922,0.036349181678700,2.042068458425301,-2.029895391734743,0.138694941997528,-1.588429752980367,0.264028072357178,-1.428445164357321,0.032000128179789,-0.185793224965231
10,1774921923414,-0.093936766986473,-0.207489893234385,0.983598326564005,0.036421049066609,2.042055759854005,-2.029859195388140,0.138706922531128,-1.588429752980367,0.264028072357178,-1.428397480641500,0.031976159662008,-0.185781304036276
11,1774921923425,-0.093927276777235,-0.207491496206574,0.983602063342600,0.036249844725920,2.042095869374245,-2.029917628564516,0.138730883598328,-1.588417832051412,0.264015674591064,-1.428493324910299,0.031988143920898,-0.185817066823141
12,1774921923436,-0.093917598371822,-0.207487156919877,0.983602532405291,0.036348588306546,2.042058608128533,-2.029881954510315,0.138706922531128,-1.588441673909323,0.264015674591064,-1.428409401570455,0.032000128179789,-0.185793224965231
13,1774921923447,-0.093934471854064,-0.207488073219040,0.983601594556200,0.036372398111414,2.042072859038442,-2.029890896861705,0.138694941997528,-1.588417832051412,0.264003753662109,-1.428433243428366,0.031988143920898,-0.185781304036276
14,1774921923457,-0.093928852475584,-0.207491583957857,0.983603123601066,0.036241083528555,2.042041865024278,-2.029888474487707,0.138730883598328,-1.588405434285299,0.263991832733154,-1.428433243428366,0.032036080956459,-0.185828987752096
15,1774921923468,-0.093915592466410,-0.207485401620980,0.983603676522560,0.036336734235182,2.042073309273917,-2.029903195922323,0.138694941997528,-1.588441673909323,0.264003753662109,-1.428397480641500,0.032000128179789,-0.185817066823141
16,1774921923479,-0.093943575706286,-0.207490755195027,0.983598395475855,0.036362000562482,2.042038084195419,-2.029866465983479,0.138706922531128,-1.588417832051412,0.264028072357178,-1.428409401570455,0.032012112438679,-0.185805145894186
17,1774921923490,-0.093917980895571,-0.207493059954224,0.983599782972597,0.036300299777396,2.042039700867326,-2.029853882667890,0.138754487037659,-1.588441673909323,0.264039993286133,-1.428421322499410,0.032000128179789,-0.185805145894186
18,1774921923500,-0.093950407618254,-0.207490271476646,0.983597276252576,0.036385818652411,2.042052346021666,-2.029875406091370,0.138694941997528,-1.588417832051412,0.264039993286133,-1.428433243428366,0.032000128179789,-0.185793224965231
19,1774921923511,-0.093972585839415,-0.207488888289253,0.983594969582272,0.036424452980152,2.042036789899043,-2.029878547018981,0.138658985495567,-1.588405434285299,0.264051914215088,-1.428433243428366,0.032024096697569,-0.185793224965231
20,1774921923521,-0.093935903362147,-0.207492692805694,0.983595922178676,0.036372835243835,2.042041989020125,-2.029850155684318,0.138730883598328,-1.588441673909323,0.264063835144043,-1.428409401570455,0.031988143920898,-0.185805145894186
21,1774921923532,-0.093917307224192,-0.207487180277043,0.983602582650403,0.036371584295134,2.042077811621676,-2.029885683865574,0.138706922531128,-1.588441673909323,0.264015674591064,-1.428433243428366,0.031976159662008,-0.185769383107321
22,1774921923543,-0.093939637105132,-0.207494583867402,0.983597650448742,0.036337372068307,2.042019637511379,-2.029837889581964,0.138742506504059,-1.588417832051412,0.264039993286133,-1.428433243428366,0.032012112438679,-0.185781304036276
23,1774921923554,-0.093936496625232,-0.207494150696129,0.983598848298944,0.036276562478377,2.042045882775657,-2.029871957861096,0.138742506504059,-1.588417832051412,0.264039993286133,-1.428469006215231,0.032012112438679,-0.185805145894186
24,1774921923565,-0.093958466650821,-0.207492965446912,0.983595840321173,0.036396520745568,2.042081026908136,-2.029881090643172,0.138706922531128,-1.588405434285299,0.264039993286133,-1.428469006215231,0.031964175403118,-0.185781304036276
25,1774921923576,-0.093956600640652,-0.207492604584307,0.983594534509247,0.036446521966946,2.042016102513565,-2.029827570901117,0.138706922531128,-1.588417832051412,0.264051914215088,-1.428397480641500,0.032000128179789,-0.185769383107321
26,1774921923587,-0.093940840487282,-0.207487484948076,0.983598700771338,0.036397820760486,2.042070910198749,-2.029892305828423,0.138682946562767,-1.588429752980367,0.264028072357178,-1.428397480641500,0.031988143920898,-0.185817066823141
27,1774921923597,-0.093947381281717,-0.207487024461468,0.983597631918741,0.036444636234004,2.042104374700854,-2.029904974727129,0.138670966029167,-1.588429752980367,0.264039993286133,-1.428445164357321,0.031952191144228,-0.185781304036276
28,1774921923607,-0.093924232801653,-0.207491026277957,0.983600680266094,0.036324202174858,2.042048677147215,-2.029868567373563,0.138730883598328,-1.588429752980367,0.264015674591064,-1.428397480641500,0.032000128179789,-0.185817066823141
29,1774921923617,-0.093906318933401,-0.207489897792839,0.983604079259231,0.036264324612302,2.042037086972888,-2.029869614835214,0.138742506504059,-1.588441673909323,0.264015674591064,-1.428433243428366,0.032024096697569,-0.185793224965231
30,1774921923628,-0.093921675569984,-0.207492129615574,0.983600705387519,0.036323748738686,2.042053782537448,-2.029863546509862,0.138742506504059,-1.588429752980367,0.264015674591064,-1.428409401570455,0.031988143920898,-0.185805145894186
31,1774921923639,-0.093920045495907,-0.207490448765875,0.983602277416076,0.036287436400319,2.042065172550022,-2.029888098392962,0.138730883598328,-1.588429752980367,0.264015674591064,-1.428445164357321,0.032000128179789,-0.185805145894186
32,1774921923650,-0.093954339487895,-0.207490694770497,0.983598006856334,0.036352143283502,2.042009351691028,-2.029859795443853,0.138694941997528,-1.588405434285299,0.264028072357178,-1.428409401570455,0.032048065215349,-0.185805145894186
33,1774921923661,-0.093915829541435,-0.207491316119620,0.983600952319959,0.036336200198803,2.042048868279555,-2.029855803622329,0.138742506504059,-1.588441673909323,0.264028072357178,-1.428421322499410,0.031988143920898,-0.185781304036276
34,1774921923672,-0.093920628752001,-0.207491985226330,0.983601104692210,0.036323621664325,2.042054122451992,-2.029863133117292,0.138742506504059,-1.588429752980367,0.264015674591064,-1.428421322499410,0.031988143920898,-0.185793224965231
